title,neighborhood,address,city,state,zip_code,type,objectid,datebuilt_architect,date,latitude,longitude,architect,filename,in the guide to state historic markers? (y/n),format
A. M. E. Book Concern,Center City,631 Pine St.,Philadelphia,PA,19106,,AAHS_2,,,39.944173,-75.1529647,,,,image/jpeg
Benezet's School / Quaker African School House,Center City,Willings Alley,Philadelphia,PA,19106,school,AAHS_30,,,40.0991261,-74.9235652,,,,image/jpeg
Benjamin Banneker Institute,Center City,409 S. 11th St.,Philadelphia,PA,19147,,AAHS_31,,,39.963052,-75.198687,,,,image/jpeg
College Settlement / W. E. B. DuBois House,Center City,617 Rodman St.,Philadelphia,PA,19147,settlement house,AAHS_75,,,39.964834,-75.143959,,,,image/jpeg
Colored Industrial School,Center City,20th below Walnut St.,Philadelphia,PA,,school,AAHS_76,,,39.9400207,-75.1799257,,,,image/jpeg
Douglass Hotel (Billie Holiday Residence),Center City,1409-1411 Lombard St.,Philadelphia,PA,19146,hotel,AAHS_86,1926,1926,39.9616479,-75.2022775,,https://www.preservationalliance.com/images/aia/1409-11LombardSt.jpg,,image/jpeg
Dunbar Theater / Lincoln Theater,Center City,Broad and Lombard Streets.,Philadelphia,PA,19146,theater,AAHS_89,,,39.944092,-75.165399,,,,image/jpeg
Female Anti-Slavery Society,Center City,107 N. 5th St.,Philadelphia,PA,19106,,AAHS_111,,,39.966843,-75.145813,,,,image/jpeg
First African Baptist Church Cemetery,Center City,8th and Vine Sts.,Philadelphia,PA,19106,cemetery,AAHS_114,1796,1796,39.990821,-75.168428,,,,image/jpeg
First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,Center City,1025-1027 Cherry St.,Philadelphia,PA,19107,church,AAHS_116,,,39.963113,-75.229813,,,,image/jpeg
Free African Society,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,,AAHS_130,,,39.94258,-75.149553,,,,image/jpeg
Grendel's Lair,Center City,500 South St.,Philadelphia,PA,19147,,AAHS_160,,,39.941747,-75.150875,,https://www.preservationalliance.com/images/aia/500SouthSt.jpg,,image/jpeg
Historic St. George's Methodist Church,Center City,235 N. 4th St.,Philadelphia,PA,19106,church,AAHS_168,"1767, 1812",1767;1812,39.992082,-75.138301,,,,image/jpeg
"James Forten, Sr. House / Charlotte Forten House",Center City,336 Lombard St.,Philadelphia,PA,19147,dwelling,AAHS_189,,,39.943947,-75.159541,,https://www.preservationalliance.com/images/aia/336LombardStb.jpg,,image/jpeg
Liberation of Jane Johnson,Center City,211 S. Columbus Blvd.,Philadelphia,PA,19106,,AAHS_214,,,39.990821,-75.168428,,,,image/jpeg
Lombard Street Riot,Center City,6th & Lombard,Philadelphia,PA,19147,,AAHS_220,n/a,,39.94258,-75.149553,,,,image/jpeg
Mayor Richardson Dilworth House,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,dwelling,AAHS_227,,,39.949982,-75.150576,,,,image/jpeg
Octavius V. Catto House Site,Center City,814 South St.,Philadelphia,PA,19147,dwelling,AAHS_267,demolished ca. 1990,1990,39.942303,-75.156023,,,,image/jpeg
Octavius V. Catto School Building #2,Center City,2028-2038 Lombard St.,Philadelphia,PA,19146,school,AAHS_268,,,39.943947,-75.159541,,,,image/jpeg
ODUNDE Festival,Center City,23rd and South Sts.,Philadelphia,PA,19146,,AAHS_269,,,39.990821,-75.168428,,,,image/jpeg
Pennsylvania Abolition Society,Center City,"Front St., below Chestnut St.",Philadelphia,PA,19106,,AAHS_281,,,39.990821,-75.168428,,,,image/jpeg
Pennsylvania Hall,Center City,6th and Haines Sts.,Philadelphia,PA,,hall,AAHS_283,1838; burned 1838,1838;1838,39.990821,-75.168428,,,,image/jpeg
Robert Bogle Catering Establishment,Center City,112 S. 8th St.,Philadelphia,PA,19107,caterer,AAHS_318,,,39.94909,-75.15425,,,,image/jpeg
Robert Mara Adger House,Center City,823 South St.,Philadelphia,PA,19147,dwelling,AAHS_320,,,39.943754,-75.166382,,,,image/jpeg
Thaddeus Kosciuszko House / Kosciuszko National Memorial,Center City,301-303 Pine St.,Philadelphia,PA,19106,dwelling,AAHS_376,1750-1780,1750;1780,39.953331,-75.224626,,https://www.preservationalliance.com/images/aia/301-3PineSt.jpg,,image/jpeg
Wesley A.M.E. Zion Church,Center City,1500-1504 Lombard St.,Philadelphia,PA,19146,church,AAHS_413,"1925, 1926",1925;1926,39.943947,-75.159541,,https://www.preservationalliance.com/images/aia/1500-04LombardSt.jpg,,image/jpeg
Baker Bowl,North,N. Broad and W. Lehigh Ave.,Philadelphia,PA,19132,stadium,AAHS_25,1887; demolished 1950,1887; 1950,39.9526248,-75.1569986,,,,image/jpeg
Black Panthers Headquarters,North,1928 Cecil B. Moore Ave.,Philadelphia,PA,19121,,AAHS_47,,,39.9444141,-75.1656692,,,,image/jpeg
Cyrus Bustill House,North,near 3rd and Green Sts.,Philadelphia,PA,19123,dwelling,AAHS_80,,,39.951891,-75.143801,,,,image/jpeg
David Bustill Bowser House,North,841 N. 4th St.,Philadelphia,PA,19123,dwelling,AAHS_81,,,40.0420208,-75.1803247,,,,image/jpeg
Ebenezer Don Carlos Bassett House,North,2121 N. 29th St.,Philadelphia,PA,19121,dwelling,AAHS_97,,,39.988316,-75.180225,,,,image/jpeg
Fair Hill Burial Ground,North,2901 Germantown Ave.,Philadelphia,PA,19133,cemetery,AAHS_109,1842,1842,39.99678,-75.146065,,,,image/jpeg
Jessie Redmon Fauset House,North,1853 N. 17th St.,Philadelphia,PA,19121,dwelling,AAHS_196,ca. 1885,1885,39.982106,-75.161803,,,,image/jpeg
John W. Coltrane House,North,1511 N. 33rd St.,Philadelphia,PA,19121,dwelling,AAHS_199,1895,1895,39.980283,-75.188424,,,,image/jpeg
Negro People's Theater of Philadelphia,North,311 N. 16th St.,Philadelphia,PA,19102,,AAHS_260,,,40.042469,-75.146943,,,,image/jpeg
