objectid,title,neighborhood,location,address,city,state,zip_code,type,subject,datebuilt_architect,date,latitude,longitude,architect,object_location,image
AAHS_2,A. M. E. Book Concern,Center City,Center City,631 Pine St.,Philadelphia,PA,19106,,,,,39.944173,-75.1529647,,,
AAHS_30,Benezet's School / Quaker African School House,Center City,Center City,Willings Alley,Philadelphia,PA,19106,school,school,,,40.0991261,-74.9235652,,,
AAHS_31,Benjamin Banneker Institute,Center City,Center City,409 S. 11th St.,Philadelphia,PA,19147,,,,,39.963052,-75.198687,,,
AAHS_75,College Settlement / W. E. B. DuBois House,Center City,Center City,617 Rodman St.,Philadelphia,PA,19147,settlement house,settlement house,,,39.964834,-75.143959,,,
AAHS_76,Colored Industrial School,Center City,Center City,20th below Walnut St.,Philadelphia,PA,,school,school,,,39.9400207,-75.1799257,,,
AAHS_86,Douglass Hotel (Billie Holiday Residence),Center City,Center City,1409-1411 Lombard St.,Philadelphia,PA,19146,hotel,hotel,1926,1926,39.9616479,-75.2022775,,http://www.preservationalliance.com/images/aia/1409-11LombardSt.jpg,http://www.preservationalliance.com/images/aia/1409-11LombardSt.jpg
AAHS_89,Dunbar Theater / Lincoln Theater,Center City,Center City,Broad and Lombard Streets.,Philadelphia,PA,19146,theater,theater,,,37.9365752,-87.8768004,,,
AAHS_111,Female Anti-Slavery Society,Center City,Center City,107 N. 5th St.,Philadelphia,PA,19106,,,,,39.966843,-75.145813,,,
AAHS_114,First African Baptist Church Cemetery,Center City,Center City,8th and Vine Sts.,Philadelphia,PA,19106,cemetery,cemetery,1796,1796,39.990821,-75.168428,,,
AAHS_116,First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,Center City,Center City,1025-1027 Cherry St.,Philadelphia,PA,19107,church,church,,,39.963113,-75.229813,,,
AAHS_130,Free African Society,Center City,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,,,,,39.94258,-75.149553,,,
AAHS_160,Grendel's Lair,Center City,Center City,500 South St.,Philadelphia,PA,19147,,,,,39.941747,-75.150875,,http://www.preservationalliance.com/images/aia/500SouthSt.jpg,http://www.preservationalliance.com/images/aia/500SouthSt.jpg
AAHS_168,Historic St. George's Methodist Church,Center City,Center City,235 N. 4th St.,Philadelphia,PA,19106,church,church,"1767, 1812",1767;1812,39.992082,-75.138301,,,
AAHS_189,"James Forten, Sr. House / Charlotte Forten House",Center City,Center City,336 Lombard St.,Philadelphia,PA,19147,dwelling,dwelling,,,39.943947,-75.159541,,http://www.preservationalliance.com/images/aia/336LombardStb.jpg,http://www.preservationalliance.com/images/aia/336LombardStb.jpg
AAHS_214,Liberation of Jane Johnson,Center City,Center City,211 S. Columbus Blvd.,Philadelphia,PA,19106,,,,,39.990821,-75.168428,,,
AAHS_220,Lombard Street Riot,Center City,Center City,6th & Lombard,Philadelphia,PA,19147,,,n/a,,39.94258,-75.149553,,,
AAHS_227,Mayor Richardson Dilworth House,Center City,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,dwelling,dwelling,,,39.949982,-75.150576,,,
AAHS_267,Octavius V. Catto House Site,Center City,Center City,814 South St.,Philadelphia,PA,19147,dwelling,dwelling,demolished ca. 1990,1990,39.942303,-75.156023,,,
AAHS_268,Octavius V. Catto School Building #2,Center City,Center City,2028-2038 Lombard St.,Philadelphia,PA,19146,school,school,,,39.943947,-75.159541,,,
AAHS_269,ODUNDE Festival,Center City,Center City,23rd and South Sts.,Philadelphia,PA,19146,,,,,39.990821,-75.168428,,,
AAHS_281,Pennsylvania Abolition Society,Center City,Center City,"Front St., below Chestnut St.",Philadelphia,PA,19106,,,,,39.990821,-75.168428,,,
AAHS_283,Pennsylvania Hall,Center City,Center City,6th and Haines Sts.,Philadelphia,PA,,hall,hall,1838; burned 1838,1838;1838,39.990821,-75.168428,,,
